soc,weight,temperature,battery_health,distance
34.14,3413.77,7.14,98.22,26.59
72.88,3492.34,-21.18,91.11,220.52
44.87,3232.51,19.96,85.41,86.8
71.37,3292.49,48.85,94.73,231.93
23.83,4444.28,43.62,99.68,-122.79
65.64,4208.66,19.63,91.18,83.7
50.88,3898.35,-0.36,95.66,35.81
48.01,4367.74,33.03,91.46,-32.1
14.17,4189.64,29.28,92.76,-114.72
48.26,4059.11,-2.76,89.0,4.99
84.01,3339.47,-20.07,91.74,340.42
34.89,4395.27,43.93,84.77,-85.41
0,4633.85,-34.5,80.68,-190.48
23.54,3401.5,4.29,84.33,-1.95
85.15,3991.27,-18.2,90.84,276.49
40.63,4246.2,27.35,87.67,-48.02
12.82,3933.94,10.44,81.63,-87.56
6.65,3768.61,0.4,94.11,-79.36
69.83,3847.91,9.2,86.66,155.49
19.4,3981.55,39.41,91.97,-79.38
77.0,3703.47,-21.27,82.51,230.59
5.54,3686.83,-5.64,88.79,-71.65
60.87,3913.46,-9.12,98.6,87.67
53.14,4907.71,-7.79,88.34,-70.81
34.2,3699.07,28.96,95.29,-6.47
47.47,3593.02,10.78,86.51,55.83
59.13,4952.2,7.74,87.86,-43.7
84.32,3365.9,42.69,97.75,340.59
40.73,3522.72,-31.54,87.55,36.7
57.9,4899.81,-8.13,93.77,-44.61
5.96,3465.08,-12.11,99.37,-45.11
0,4900.54,-21.63,87.72,-221.57
84.79,3436.43,35.97,89.82,337.33
8.31,3594.35,-29.25,91.08,-56.22
54.22,4857.3,15.36,92.62,-59.45
16.73,3772.3,-1.83,89.18,-60.81
62.47,3975.52,-23.4,80.71,90.26
74.47,4601.59,26.01,88.33,104.19
57.11,4504.47,-30.95,81.4,-2.91
49.18,3964.64,-39.38,84.53,20.16
58.33,4732.15,-32.13,88.83,-22.63
48.73,4332.78,-38.87,85.92,-24.8
88.98,4112.4,24.85,97.37,305.36
77.61,4694.78,40.63,82.18,120.45
38.94,3270.13,56.98,82.06,59.6
86.97,3505.65,38.83,87.44,353.05
32.13,4152.52,-3.2,96.38,-65.81
81.49,4297.86,34.04,90.03,203.17
81.94,4399.19,42.78,86.26,195.8
22.87,3397.77,-16.46,89.77,-3.16
39.86,4165.92,22.28,88.36,-41.5
36.74,4672.76,9.27,88.58,-111.6
77.59,3643.54,50.34,95.63,242.83
16.07,3468.79,-14.28,94.82,-26.82
26.21,3917.7,43.67,95.67,-55.27
50.43,3981.27,18.24,91.86,24.02
