from_id,to_id,node_id
0,26814,1
1,26795,3
2,7876,5
3,26818,7
4,26798,9
5,5357,11
6,26872,13
7,4781,15
8,23067,17
9,23424,19
10,23426,21
11,26772,22
12,26398,24
13,23441,26
14,1433,28
15,23440,30
16,23435,32
17,33139,34
18,429,36
19,23085,38
20,34951,40
21,11022,42
22,20053,44
23,24,46
24,11023,47
25,29791,49
26,27,51
27,17468,52
28,23285,54
29,5332,56
30,29,55
30,20409,55
31,26113,59
32,29473,61
33,30617,63
34,35,65
34,1628,65
35,34,64
36,37,67
37,11026,68
37,25355,68
38,18515,70
39,40,72
39,1674,72
39,34974,72
40,39,71
40,406,71
41,42,74
42,25378,75
42,30788,75
43,44,77
44,45,78
44,35293,78
45,1610,79
45,20072,79
46,280,81
46,283,81
47,20071,83
47,20075,83
48,49,85
48,35080,85
49,48,84
49,35083,84
50,51,87
50,25670,87
51,50,86
51,28809,86
51,28810,86
52,15901,89
52,15908,89
52,35050,89
53,54,91
53,35073,91
54,53,90
54,6260,90
54,35065,90
55,67,93
56,57,95
56,904,95
56,907,95
56,28804,95
57,56,94
57,29320,94
58,59,97
58,62,97
58,4481,97
58,35087,97
59,58,96
59,31933,96
61,49,85
61,35080,85
62,63,101
62,35084,101
63,59,97
63,62,97
63,4481,97
63,35087,97
64,55,92
64,6259,92
65,64,102
65,66,102
66,67,93
67,68,104
67,25665,104
68,65,103
69,3106,106
69,26183,106
70,71,107
70,35036,107
71,69,105
71,70,105
72,73,109
72,28806,109
73,72,108
73,2705,108
74,34986,111
75,74,110
75,76,110
76,75,112
77,58,96
77,31933,96
78,27023,115
78,31934,115
79,80,117
79,15852,117
80,79,116
80,11374,116
80,26182,116
80,35233,116
81,31935,119
81,34990,119
82,83,121
82,25669,121
83,82,120
83,15906,120
84,1291,123
84,15891,123
85,86,125
85,34824,125
86,85,124
86,34833,124
87,30610,127
88,34817,129
89,34815,131
90,91,133
90,30611,133
91,92,134
91,34886,134
92,91,133
92,30611,133
93,94,136
93,26921,136
94,93,135
94,34687,135
95,96,138
96,10134,139
96,18402,139
97,18827,141
98,99,143
98,345,143
99,16235,144
99,16236,144
100,101,145
100,108,145
101,87,126
101,100,126
102,5445,147
103,5431,149
104,5439,151
105,106,153
105,1271,153
106,105,152
106,31165,152
107,26385,155
108,109,156
108,211,156
109,101,145
109,108,145
110,111,158
110,33891,158
111,110,157
111,27470,157
112,25426,160
113,112,159
113,32815,159
114,116,163
114,34701,163
115,31347,165
115,33884,165
116,110,157
116,27470,157
117,118,167
118,31249,168
119,31249,168
120,117,166
120,35214,166
121,15982,172
122,123,174
123,26532,175
123,26546,175
124,120,170
125,120,170
126,3459,179
127,128,181
127,129,181
128,127,180
128,25754,180
129,130,182
129,7873,182
129,18906,182
130,128,181
130,129,181
131,34807,184
132,133,186
132,27944,186
133,34981,187
133,34982,187
134,135,189
134,138,189
134,27623,189
135,134,188
135,29070,188
135,34401,188
136,26527,191
136,26529,191
137,26523,193
137,26525,193
138,27621,194
138,29071,194
139,34402,196
140,26810,198
141,142,200
142,143,201
142,2883,201
143,144,202
143,147,202
144,121,171
