elevation,recorder_speed,system_time,plate_color,gps_time,to_police_num,plate_num,gps_longitude,erro_type,gps_speed,operator,map_latitude,map_longitude,gps_latitude,event,direction,mileage
300,0,20181001/000259,蓝色,20181001/000253,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/000806,蓝色,20181001/000754,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/001310,蓝色,20181001/001254,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/001840,蓝色,20181001/001754,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/002312,蓝色,20181001/002256,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/002759,蓝色,20181001/002752,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/003300,蓝色,20181001/003254,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/004301,蓝色,20181001/004255,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/005300,蓝色,20181001/005254,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/010302,蓝色,20181001/010255,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/011353,蓝色,20181001/011254,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/012302,蓝色,20181001/012255,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/012958,蓝色,20181001/012757,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/013415,蓝色,20181001/013255,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/014403,蓝色,20181001/014256,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/014806,蓝色,20181001/014756,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/015302,蓝色,20181001/015256,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/020302,蓝色,20181001/020255,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/021428,蓝色,20181001/021256,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/022303,蓝色,20181001/022257,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/022803,蓝色,20181001/022757,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/023303,蓝色,20181001/023257,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/024303,蓝色,20181001/024257,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/024804,蓝色,20181001/024758,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/030304,蓝色,20181001/030258,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/030804,蓝色,20181001/030758,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/031304,蓝色,20181001/031258,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/031921,蓝色,20181001/031758,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/032304,蓝色,20181001/032258,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/032806,蓝色,20181001/032759,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/033308,蓝色,20181001/033300,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/034305,蓝色,20181001/034258,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/035341,蓝色,20181001/035259,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/040312,蓝色,20181001/040259,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/040812,蓝色,20181001/040759,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/041306,蓝色,20181001/041300,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/041849,蓝色,20181001/041801,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/042308,蓝色,20181001/042301,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/043944,蓝色,20181001/043800,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/044307,蓝色,20181001/044300,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/044807,蓝色,20181001/044800,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/045307,蓝色,20181001/045301,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/045853,蓝色,20181001/045801,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/050407,蓝色,20181001/050300,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/050828,蓝色,20181001/050802,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/051307,蓝色,20181001/051300,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/051817,蓝色,20181001/051801,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/052314,蓝色,20181001/052302,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,5,188,46
300,0,20181001/052352,蓝色,20181001/052345,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,188,46
300,0,20181001/052422,蓝色,20181001/052415,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,188,46
300,0,20181001/052452,蓝色,20181001/052446,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,188,46
300,0,20181001/052522,蓝色,20181001/052515,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,188,46
300,0,20181001/052552,蓝色,20181001/052546,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,188,46
300,0,20181001/052622,蓝色,20181001/052615,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,11,46
300,0,20181001/052652,蓝色,20181001/052646,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,175,46
300,0,20181001/052745,蓝色,20181001/052716,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,218,46
300,0,20181001/052752,蓝色,20181001/052745,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,189,46
300,0,20181001/052843,蓝色,20181001/052816,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,209,46
300,0,20181001/052852,蓝色,20181001/052845,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,228,46
300,0,20181001/052922,蓝色,20181001/052915,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,163,46
300,0,20181001/053015,蓝色,20181001/052945,,粤A1NW34,68114458,0,0,44030095,13862343,68117594,13863994,4,163,46
