name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,266992300,,,,,,,114.1072398,22.5413859,,,
,1,6302438882,,,,,,,114.1079157,22.5414688,,,
,2,6302438879,traffic_signals,,signal,,,,114.1100257,22.54175,,,
,3,8205496038,,,,,,,114.1102578,22.541782,,,
,4,266992093,,,,,,,114.1079143,22.5415774,,,
,5,266992094,,,,,,,114.1072354,22.5414963,,,
,6,4061889993,,,,,,,114.049646,22.6922107,,,
清湖,7,266999627,motorway_junction,,,,,,114.0493319,22.6903141,,,
,8,266999628,,,,,,,114.0487375,22.6859582,,,
,9,266999631,,,,,,,114.0484808,22.6827796,,,
,10,266999632,,,,,,,114.0483945,22.6813566,,,
,11,267000193,,,,,,,114.064208,22.6774138,,,
,12,267000194,,,,,,,114.0634891,22.6779088,,,
,13,267000489,motorway_junction,,,,,,114.0503597,22.6814918,,,
,14,267000466,,,,,,,114.0510773,22.6824906,,,
,15,267000469,,,,,,,114.0512035,22.6833056,,,
,16,587656200,,,,,,,114.0444554,22.6837679,,,
,17,267001102,motorway_junction,,,,,,114.0466497,22.6850707,,,
,18,587656201,,,,,,,114.0434442,22.6838817,,,
,19,267001062,,,,,,,114.0460497,22.6840073,,,
,20,267001066,,,,,,,114.0459697,22.6831809,,,
,21,587656539,,,,,,,114.0534595,22.6824909,,,
,22,587656163,,,,,,,114.0587301,22.680865,,,
清湖,23,587656149,motorway_junction,,,,,,114.0437768,22.683659,,,
,24,267001274,motorway_junction,,,,,,114.0463943,22.6818006,,,
,25,267001446,,,,,,,114.0507969,22.6823659,,,
,26,267001280,,,,,,,114.0481539,22.6784983,,,
清湖,27,587656188,motorway_junction,,,,,,114.05673,22.6819254,,,
,28,267001520,motorway_junction,,,,,,114.0528064,22.6831518,,,
,29,267001435,,,,,,,114.0494113,22.6881007,,,
,30,267001449,,,,,,,114.0507879,22.6833842,,,
,31,267001458,,,,,,,114.0494448,22.685261,,,
