a,b
1.0,8.21
1.1,8.92
1.2,7.68
1.3,9.63
1.4,8.2
1.5,7.95
1.6,9.75
1.7,10.96
1.8,12.64
1.9,14.5
2.0,13.72
2.1,12.62
2.2,13.89
2.3,14.42
2.4,11.42
2.5,14.72
2.6,10.95
2.7,15.91
2.8,15.85
2.9,13.81
3.0,13.33
3.1,17.83
3.2,15.84
3.3,17.39
3.4,18.39
3.5,14.83
3.6,16.55
3.7,16.15
3.8,13.64
3.9,16.05
4.0,20.71
4.1,18.56
4.2,18.65
4.3,20.69
4.4,21.06
4.5,17.48
4.6,18.87
4.7,22.52
4.8,19.04
4.9,23.16
5.0,18.15
5.1,23.28
5.2,22.59
5.3,20.57
5.4,21.78
5.5,22.43
5.6,19.64
5.7,24.29
5.8,25.42
5.9,21.3
6.0,26.8
6.1,23.95
6.2,26.23
6.3,26.5
6.4,21.37
6.5,29.24
6.6,27.37
6.7,27.77
6.8,25.59
6.9,25.94
7.0,28.18
7.1,27.4
7.2,27.11
7.3,31.11
7.4,31.11
7.5,30.61
7.6,32.5
7.7,32.22
7.8,33.41
7.9,31.3
8.0,30.18
8.1,30.47
8.2,31.01
8.3,35.2
8.4,27.35
8.5,32.19
8.6,29.68
8.7,34.51
8.8,31.85
8.9,35.08
9.0,31.79
9.1,33.92
9.2,32.41
9.3,34.14
9.4,31.95
9.5,31.74
9.6,36.67
9.7,32.41
9.8,32.42
9.9,35.05
