name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,314553196,motorway_junction,,,,,,-8.6437992,41.1675639,,,
,1,26016423,,,,,,,-8.6438364,41.1661784,,,
Boavista,2,26016419,motorway_junction,,,,,,-8.6424338,41.1670798,,,
,3,4468021928,,,,,,,-8.6426564,41.1674784,,,
,4,112590296,,,,,,,-8.6417347,41.1669968,,,
,5,25504003,,,,,,,-8.6423525,41.1675121,,,
,6,112591702,,,,,,,-8.6409147,41.1674513,,,
,7,112591715,,,,,,,-8.6409089,41.1668122,,,
,8,25503936,,,,,,,-8.6406364,41.1660713,,,
,9,281726624,,,,,,,-8.6404613,41.1680242,,,
,10,25503951,,,,,,,-8.6420446,41.168347,,,
,11,1243857957,,,,,,,-8.6433345,41.1682353,,,
,12,26015912,,,,,,,-8.6089945,41.1737773,,,
,13,4161788736,,,,,,,-8.6078735,41.1731503,,,
,14,25507534,,,,,,,-8.5820875,41.0692684,,,
,15,25507540,,,,,,,-8.5815422,41.0662928,,,
Valença,16,26015892,motorway_junction,,,,,,-8.5980825,41.1714553,,,
,17,112597525,,,,,,,-8.5970031,41.1712801,,,
Valença,18,26015879,motorway_junction,,,,,,-8.5938865,41.1713532,,,
,19,26122713,,,,,,,-8.5947195,41.1731101,,,
,20,26122714,motorway_junction,,,,,,-8.5947981,41.1734158,,,
,21,25532222,,,,,,,-8.5953322,41.1720913,,,
,22,26015889,,,,,,,-8.5970968,41.1717841,,,
,23,1534487964,,,,,,,-8.6285974,41.1158979,,,
,24,1534487987,,,,,,,-8.6323705,41.1179407,,,
,25,26122781,motorway_junction,,,,,,-8.5937868,41.1840589,,,
,26,26057801,,,,,,,-8.593662,41.1820933,,,
,27,26122784,motorway_junction,,,,,,-8.593171,41.1807675,,,
,28,112652932,,,,,,,-8.5934728,41.1809453,,,
,29,26057853,,,,,,,-8.5920399,41.180349,,,
,30,26122720,,,,,,,-8.5930012,41.179984,,,
,31,3139458027,,,,,,,-8.5912588,41.1802377,,,
,32,26122724,,,,,,,-8.5931847,41.1828871,,,
,33,26121335,,,,,,,-8.5642949,41.2429101,,,
,34,1214152747,,,,,,,-8.5648316,41.2442342,,,
,35,3538760549,motorway_junction,,,,,,-8.5019406,41.3754337,,,
,36,26121650,,,,,,,-8.5023094,41.3771204,,,
,37,26121654,,,,,,,-8.5031073,41.3759232,,,
,38,319301822,,,,,,,-8.5027267,41.374623,,,
,39,26122679,motorway_junction,,,,,,-8.6223813,41.1817809,,,
,40,26122848,,,,,,,-8.6245912,41.1800724,,,
